
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
349,Nathan Redmond,eng ENG,DF,Southampton,28-246,1994,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,ab651565
350,Harrison Reed,eng ENG,MF,Fulham,27-284,1995,13.1,332,450,73.8,4979,1293,185,224,82.6,106,134,79.1,22,48,45.8,1,1.6,0.7,-0.6,18,27,11,5,22,Matches,803ae100
351,Bobby Reid,jm JAM,MFDF,Fulham,29-278,1993,12.5,330,465,71.0,5259,1737,164,201,81.6,129,171,75.4,21,49,42.9,1,0.6,0.4,+0.4,9,17,12,5,20,Matches,0f7533cd
352,Declan Rice,eng ENG,MF,West Ham,23-297,1999,14.0,767,861,89.1,13869,3834,363,402,90.3,304,316,96.2,88,116,75.9,1,1.8,0.6,-0.8,18,111,4,2,55,Matches,1c7012b8
353,Chris Richards,us USA,DF,Crystal Palace,22-224,2000,0.5,17,23,73.9,240,75,10,13,76.9,7,9,77.8,0,1,0.0,0,0.3,0.0,-0.3,1,0,0,0,1,Matches,0a3d6d2b
354,Richarlison,br BRA,MFFW,Tottenham,25-181,1997,4.1,84,115,73.0,1312,366,44,58,75.9,26,34,76.5,7,10,70.0,2,1.2,1.0,+0.8,8,6,6,2,9,Matches,fa031b34
355,Jaïro Riedewald,nl NED,DFMF,Crystal Palace,26-059,1996,0.5,26,35,74.3,351,74,17,18,94.4,9,13,69.2,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,7a1f2c08
356,Matt Ritchie,sct SCO,FW,Newcastle Utd,33-058,1989,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,71ef519e
357,Andrew Robertson,sct SCO,DF,Liverpool,28-241,1994,8.6,568,708,80.2,9579,2984,285,310,91.9,228,274,83.2,44,90,48.9,2,1.9,2.0,+0.1,18,32,10,5,34,Matches,2e4f5f03
358,Antonee Robinson,us USA,DF,Fulham,25-091,1997,11.3,418,582,71.8,7209,3172,175,203,86.2,192,255,75.3,39,89,43.8,0,0.2,0.6,-0.2,6,30,18,8,30,Matches,289601e6
359,Marc Roca,es ESP,MF,Leeds United,25-346,1996,10.6,438,562,77.9,7364,3066,216,251,86.1,164,198,82.8,43,75,57.3,0,0.3,0.3,-0.3,10,73,8,0,63,Matches,da27e268
