Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
416,Jonas Wind,dk DEN,FWMF,Wolfsburg,23-275,1999,1.9,41,59,69.5,475,150,31,35,88.6,8,14,57.1,0,1,0.0,0,0.2,0.6,-0.2,1,9,1,0,6,Matches,2077ae86
417,Frederik Winther,dk DEN,DF,Augsburg,21-309,2001,1.0,22,35,62.9,456,203,5,8,62.5,12,15,80.0,4,8,50.0,1,0.1,0.0,+0.9,1,1,1,0,1,Matches,a1257b5e
418,Hannes Wolf,at AUT,FWMF,M'Gladbach,23-207,1999,0.6,10,14,71.4,145,26,3,4,75.0,4,5,80.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,be42a291
419,Marius Wolf,de GER,DFFW,Dortmund,27-166,1995,5.7,221,303,72.9,3674,1353,111,127,87.4,86,106,81.1,20,43,46.5,1,0.8,1.2,+0.2,9,17,10,5,20,Matches,fa661778
420,Jeong Woo-yeong,kr KOR,MFFW,Freiburg,23-050,1999,4.4,101,135,74.8,1398,330,61,73,83.6,26,32,81.3,5,7,71.4,1,0.9,0.9,+0.1,4,7,3,2,7,Matches,6190474d
421,Maya Yoshida,jp JPN,DF,Schalke 04,34-077,1988,12.9,477,606,78.7,10127,3417,116,143,81.1,301,324,92.9,58,123,47.2,0,0.0,0.2,0.0,1,28,2,0,31,Matches,caffaf5a
422,Dan-Axel Zagadou,fr FRA,DF,Stuttgart,23-159,1999,3.9,173,210,82.4,3348,1285,58,64,90.6,97,109,89.0,18,30,60.0,0,0.1,0.0,-0.1,3,18,0,0,10,Matches,a4effc55
423,Rodrigo Zalazar,uy URU,MFFW,Schalke 04,23-089,1999,4.2,58,94,61.7,880,275,26,41,63.4,22,29,75.9,4,13,30.8,0,0.6,0.5,-0.6,5,4,3,2,5,Matches,fc3697dd
424,Robin Zentner,de GER,GK,Mainz 05,28-012,1994,13.0,243,417,58.3,8164,6480,29,29,100.0,102,106,96.2,112,280,40.0,0,0.1,0.2,-0.1,1,11,1,0,3,Matches,5c4bf6ba
425,Michael Zetterer,de GER,GK,Werder Bremen,27-120,1995,0.7,21,32,65.6,726,535,2,2,100.0,7,7,100.0,12,23,52.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches,9b688ae1
426,Simon Zoller,de GER,FW,Bochum,31-136,1991,10.2,119,195,61.0,1888,407,69,101,68.3,35,60,58.3,11,14,78.6,1,0.9,0.4,+0.1,7,9,3,0,13,Matches,29f7cfd9
